brand_Activia,brand_Alnatura,brand_Danone,brand_Ecke-Mit-Was-Drin,brand_Ja!,brand_Mueller,brand_Oikos,brand_Rewe,flavour_chocolate,flavour_raspberry,flavour_straciatella,flavour_strawberry,product_id,price,volume_per_joghurt_g,packsize,Avg_Price_by_Brand,Avg_Price_by_Product,Total_volum_pack,predicted_units,revenue
False,False,False,False,False,True,False,False,False,False,False,False,0,4.557,150,6,5.5912500000000005,4.602,900,1344.0171,6124.685878417969
False,False,False,False,False,True,False,False,False,False,False,False,0,4.6648,150,6,5.5912500000000005,4.602,900,1127.7183,5260.580147265625
False,False,False,False,False,True,False,False,False,False,False,False,0,5.1156,150,6,5.5912500000000005,4.602,900,1068.7224,5467.156371386718
False,False,False,False,False,True,False,False,False,False,False,False,0,5.341,150,6,5.5912500000000005,4.602,900,1300.5975,6946.491430053711
False,False,False,False,False,True,False,False,False,False,False,False,0,3.2634,150,6,5.5912500000000005,4.602,900,989.4914,3229.106215319824
False,False,False,False,False,True,False,False,False,False,False,False,0,3.9787999999999997,150,6,5.5912500000000005,4.602,900,1399.9369,5570.068896533203
False,False,False,False,False,True,False,False,False,False,False,False,0,4.0866,150,6,5.5912500000000005,4.602,900,1617.9952,6612.099344750976
False,False,False,False,False,True,False,False,False,False,False,False,0,3.7926,150,6,5.5912500000000005,4.602,900,1428.4833,5417.665673950196
False,False,False,False,False,True,False,False,False,False,False,False,0,4.312,150,6,5.5912500000000005,4.602,900,1469.2178,6335.267039062501
False,False,False,False,False,True,False,False,False,False,False,False,0,5.9878,150,6,5.5912500000000005,4.602,900,1072.1575,6419.864503076172
False,False,False,False,False,False,True,False,True,False,False,False,1,1.617,1000,1,4.218249999999999,3.9170000000000003,1000,1746.8254,2824.616735595703
False,False,False,False,False,False,True,False,True,False,False,False,1,1.96,1000,1,4.218249999999999,3.9170000000000003,1000,1626.4015,3187.7469189453122
False,False,False,False,False,False,True,False,True,False,False,False,1,2.8028,1000,1,4.218249999999999,3.9170000000000003,1000,1596.3655,4474.293163183594
False,False,False,False,False,False,True,False,True,False,False,False,1,4.4394,1000,1,4.218249999999999,3.9170000000000003,1000,1529.8175,6791.471831176757
False,False,False,False,False,False,True,False,True,False,False,False,1,4.7628,1000,1,4.218249999999999,3.9170000000000003,1000,1295.1543,6168.56088515625
False,False,False,False,False,False,True,False,True,False,False,False,1,4.5178,1000,1,4.218249999999999,3.9170000000000003,1000,1482.2277,6696.408127465821
False,False,False,False,False,False,True,False,True,False,False,False,1,3.2046,1000,1,4.218249999999999,3.9170000000000003,1000,1226.8375,3931.523530737305
False,False,False,False,False,False,True,False,True,False,False,False,1,6.7228,1000,1,4.218249999999999,3.9170000000000003,1000,1440.9901,9687.488327001953
False,False,False,False,False,False,True,False,True,False,False,False,1,5.1842,1000,1,4.218249999999999,3.9170000000000003,1000,1345.0559,6973.0388393066405
